Vendor Code,Vendor Name
100101,EATON FZE
100130,GULF METAL CRAFT  G.M.C  (LLC)
100133,LORUNSER AUSTRIA GMBH
100141,SIEMENS LIMITED
100146,TILLQUIST GROUP AB
100196,GRID SOLUTIONS MIDDLE EAST FZE
100315,PROCEDYNE ENGINEERS
100316,MEED MEDIA FZ LLC
100321,TEKAB CO. LLC.
100323,SEL MIDDLE EAST W.L.L.
100330,GENERAL INSTRUMENTS CONSORTIUM
100340,SUNTEX COMPOSITE INDUSTRIAL CO. LTD
100350,FOWLER WESTRUP (INDIA) PVT LIMITED
100357,SPIRAX-SARCO LTD.
100394,RITZ INSTRUMENT TRANSFORMERS GMBH
100431,BALIKESIR ELEKTROMEKANIK
100442,AIV MIDDLE EAST
100445,DESCON ENGINEERING
100449,AMAN ENGINEERING FZC
100452,QUALITY AGENCIES
100492,GUTOR ELECTRONIC ASIA PACIFIC
100495,"ABO VALVE, S.R.O"
100503,GAYTRI INDUSTRIAL CORPORATION
100507,DAYAL BUILDING MATERIAL TRADERS LTD
100510,"Gesellshaft fuer Planung, Maschinen"
100514,TRIMBLE EUROPE
100515,ELENTECH ENGINEERING SERVICES
100520,ENERZIA POWER SOLUTIONS
100521,"PATTON, LLC"
100522,UNITED TEKNICAL AND INDUSTRIAL
100526,"HD Hyundai Electric Co., Ltd."
100527,SAS INTERNATIONAL MARINE
100529,LIAN TECHNOLOGIES
100531,KZ PRECISION CORPORATION
100532,FICEP MIDDLE EAST SAL. BRANCH
100533,SHANGHAI DAAO SAFETY PROTECTION
200001,ARABIAN AUTO AGENCY CO. LTD.
200013,AL-ASMA TRADING COMPANY
200015,ABB ELECTRICAL INDUSTRIES CO. LTD.
200016,"ALBAWARDI BUILDING MATERIALS CO.,LL"
200022,ADVANCED ELECTRIC CONTROL SYSTEMS
200029,ABDULLAH HASHIM INDUSTRIAL GASES &
200035,AL ABDULKARIM HOLDING CO.
200039,AL FANAR COMPANY LTD
200043,ADWAN MARKETING CO. LTD.
200057,SALEH NASSER AL-AYOUNI FACTORY
200058,AXIS INSPECTION LTD.
200065,BISCO INTEGRATED SERVICES  CO.LTD.
200084,EASTERN GATE TRADING EST.
200089,AL MOUSA SPECIALIZED CABLES
200093,EQUIPMENT & TECHNICAL SERVICES CO.
200095,FUGRO SUHAIMI LTD.
200103,FATEH AL-JUBAIL TRADING EST.
200107,GAS ARABIAN SERVICES COMPANY LTD
200111,GULF PIPE SUPPLY & SERVICES EST
200115,HAWA ELECTRIC PANEL BOARD FACTORY
200116,HESHAM ELSEWEDY TRADING CO. LTD.
200125,AL HOTY STANGER LTD CO
200132,ISAM KABBANI & PARTNERS FOR
200139,JARIR MARKETING COMPANY
200146,KHEREIJI SHOWROOMS CO. LTD.
200165,MEJDAF TRADING COMPANY
200175,APEX NATIONAL INDUSTRIAL CALIBRATIO
200179,NDT CORROSION CONTROL SERVICES CO
200194,PUBLIC TELECOMMUNICATION CO LTD
200195,QANBAR READYMIX COMPANY
200200,REDA TRADING AND DEVELOPMENT CO.
200204,RIYADH HOUSE COMPANY (JERAISY)
200209,SAFETY POINT TRADING EST.
200215,SPECIALIZED COATING SERVICES
200216,SAUDI DESIGNERS ENGINEERING CONSULT
200217,SAUDI DIESEL EQUIPMENT CO.LTD.
200222,SANA FOR ELECTRICAL & TELEPHONE CO
200225,SIEMENS LIMITED
