vendor-code,vendor-name,material-group,material-subgroup,is-service,total-po-value-sar,total-po-count
100000,RACS Global Services LLC.,,,,0,0
100001,"VISA MANAGEMENT, S.L.",,,,0,0
100002,CEG ELETTRONICA INDUSTRIALE S.p.A.,,,,0,0
100004,SEL Middle East B.S.C.(C),,,,129189.94,6
100003,RAYMAR INFORMATION TECHNOLOGY INC,,,,1080407.27,15
100005,"EAST WEST PLACEMENT CENTER, INC.",,,,0,0
100007,DYNAMIC POSITIONS LTD,,,,0,0
100006,PRECISION DIGITAL CORPORATION,,,,0,0
100008,APEEJAY BUSINESS CENTRE,,,,0,0
100009,HR INTERNATIONAL,,,,0,0
100011,UDEY PYROCABLES PVT LTD,,,,0,0
100012,"Precision Resistive Products, Inc.",,,,13740.9,2
100010,PERFECT SYSTEMS,,,,0,0
100013,ZUBAIR TRAVEL SERVICE,,,,0,0
100014,KOOKJE INTERNATIONAL CO. LTD.,,,,0,0
100015,BENTLEY SYSTEMS INTERNATIONALLIMITED,,,,18000,1
100016,CRYSTAL SOLUTIONS LTD,,,,0,0
100017,NEW CAREER PLACEMENT SERVICES,,,,0,0
100021,Applied Systems Engineering Inc( ASE - A KALKITECH COMPANY),,,,807815.3,7
100018,"BUILDER’S BOOK, INC.",,,,0,0
100019,CONTINENTAL CONTRACTORS,,,,0,0
100020,Steam Equipments Pvt. Ltd.,,,,0,0
100023,SNEHA SYNERGY SOLUTIONS (P) LTD,,,,0,0
100022,LANDBASE HUMAN RESOURCES CO.,,,,0,0
100024,InPath Devices,,,,0,0
100025,BLAC INC.,,,,0,0
100028,TRENCH LIMITED,,,,0,0
100026,SYMBIOSIS (PTY) LTD,,,,0,0
100027,UNWABU CONSULTING,,,,0,0
100034,EYE QUEST INTERNATIONAL MANPOWERSERVICES INC,,,,0,0
100035,Stealth Computer Corporation,,,,0,0
100036,MILLOO ENTERPRISES,,,,0,0
100037,UNI STRATEGIC (MALAYSIA) SDN BHD,,,,0,0
100038,ITW VORTEC,,,,0,0
100030,ORIENT CONSULTANTS,,,,0,0
100029,PENNWELL CORPORATION,,,,0,0
100039,DOBLE ENGINEERING COMPANY,,,,0,0
100040,VOLTECH HR SERVICES PVT LTD,,,,0,0
100041,DBS CORPORATE SERVICES P LTD,,,,0,0
100042,ADMIRAL PLACEMENTS,,,,0,0
100043,FILHIGH-GNS Inc,,,,0,0
100044,Crowcon Detection Instruments Limit,,,,0,0
